section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,12,1731061680241194370,1731061680273098370,32,82.96518752186873,6.2565029641584164,2436.611163579341,3296.748003724127
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,13,1731061680433100370,1731061680573198370,140,51.733514847730845,3.9241295361469573,3298.628717129705,6970.5070085334555
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,14,1731061680793067370,1731061680921050370,128,124.94736741725937,9.443276172317525,2755.9665785770553,5936.004778648069
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,15,1731061681261076370,1731061681493052370,232,224.960427668035,16.965255733785106,3221.808537781131,8242.326599908973
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,16,1731061681737073370,1731061681765160370,28,21.917136755409068,1.6553574925568102,912.9314826909606,922.688325228348
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,17,1731061681929061370,1731061682029065370,100,18.94670788614705,1.439428935908351,2752.6666359762976,6342.970749265627
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,18,1731061682237099370,1731061682285082370,48,106.26795508444305,8.027383569116408,2397.5124384733854,3577.098214202869
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,19,1731061682525065370,1731061682681098370,156,75.38680041205313,5.694632604841836,2972.60366437777,5134.780604602049
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,20,1731061683073082370,1731061683093077370,20,21.900677688925008,1.654596100825887,1182.552700845999,1292.1802436444643
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,21,1731061683281151370,1731061683401168370,120,20.16327771714621,1.5239486622930511,1961.1660427636143,3946.817032679658
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,22,1731061685033060370,1731061685061087370,28,30.663378999348954,2.318953912979573,1185.1648593463249,1400.7115884141601
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,23,1731061685313074370,1731061685341095370,28,33.927020762163835,2.5613986545533334,1197.214584155626,1418.399840210968
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,24,1731061685509082370,1731061685545058370,36,60.71526348233066,4.580799127206385,1858.274101218066,2428.1182891394933
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,25,1731061686189069370,1731061686225089370,36,80.57609696732592,6.080633322976207,2339.2875423998307,3128.7037992799233
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,26,1731061686525068370,1731061686561074370,36,61.23730667900552,4.6300392191537965,1809.0372619695952,2247.817717885944
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,27,1731061686681207370,1731061686821059370,140,42.2633780055322,3.1940992320682877,2122.775159399715,5253.735092821682
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,28,1731061687609088370,1731061687649088370,40,60.984550707627285,4.610755818799367,1674.1789389103808,2198.3675678574987
08c2a95b-79d5-4379-928f-172bdbe70563,8deee3c8-ac61-43a0-8b3b-7f17a41179af,29,1731061688433067370,1731061688601086370,168,67.78886171501698,5.1247995139379325,2086.9297146455974,4126.816580813137
